State,County,CountyFIPS,Diagnosed,Obesity,PhysicalInactivity,Population_Aged_65_or_Older,Population_Below_Poverty,Population_Children_in_Poverty,Population_Enrolled_in_Free_or_Reduced_Lunch,Population_Food_Insecurity,Population_Minority,Population_No_Health_Insurance,Population_No_High_School_Diploma,Number_of_Primary_Care_Physicians,Newly_Diagnosed,Crowding,Unemployed,Severe_Housing_Cost_Burden,Overall_Household_Composition_&_Disability,Overall_Housing_Type_&_Transportation
Kentucky,Bell County,28139.0,2220.6,5074.0,5225.9,0.5021,0.992,38.3,77.567386946,24.8,0.1678,5.3,0.9841,13.0,194.1,0.3703,0.8949,15.754877014,0.8555,0.9039
Washington,Grant County,47081.0,2221.0,5228.1,3892.1,0.1121,0.4723,18.6,70.694936345,12.1,0.8535,12.7,0.9344,41.0,228.6,0.9513,0.5172,10.478285133,0.5167,0.7982
South Dakota,Tripp County,50005.0,2221.5,6535.4,4968.4,0.8249,0.7841,28.4,45.819761129,11.6,0.5374,6.7,0.2964,5.0,205.8,0.0322,0.1822,9.4312796209,0.6017,0.2706
Kentucky,Daviess County,48143.0,2225.9,5828.9,4504.5,0.3298,0.5889,16.0,57.565025546,13.6,0.3887,4.8,0.3477,55.0,395.2,0.6313,0.4876,11.940107499,0.8201,0.7071
Idaho,Gooding County,17103.0,2234.9,5936.2,4651.0,0.3566,0.5739,16.5,58.989280245,10.4,0.7131,16.1,0.8542,4.0,150.3,0.9156,0.3121,7.2597329321,0.4833,0.4588
Alaska,Dillingham Census Area,13207.0,2236.7,5051.6,3915.8,0.0067,0.6643,26.5,97.309833024,16.3,0.9866,20.9,0.5339,13.0,244.2,0.9981,0.9688,9.1197462331,0.6501,0.9093
Tennessee,Smith County,18041.0,2237.2,5760.7,4227.1,0.2983,0.5076,16.1,52.468538238,14.4,0.2337,7.6,0.6517,9.0,151.8,0.3703,0.1946,12.041813739,0.6667,0.1589
Mississippi,Oktibbeha County,1091.0,2238.3,6018.9,4148.8,0.0293,0.9704,25.5,69.551472041,18.5,0.8322,9.4,0.3069,21.0,184.8,0.4817,0.9347,23.233616575,0.0229,0.886
Wisconsin,Iowa County,22007.0,2238.8,4935.6,3901.5,0.419,0.0717,8.7,22.07366985,8.5,0.0984,3.7,0.0379,13.0,221.6,0.155,0.1484,9.7987006071,0.1745,0.0353
Texas,Webb County,48015.0,2239.6,5259.3,4610.0,0.0111,0.9713,30.3,82.585862678,15.8,0.9994,27.7,0.9914,84.0,194.1,0.9936,0.449,15.420230389,0.611,0.8497
Washington,Mason County,28043.0,2240.6,6158.1,4243.4,0.8249,0.5127,17.7,61.821683471,13.3,0.5524,6.9,0.5269,16.0,191.9,0.7622,0.7895,11.059028498,0.6845,0.4215
Indiana,Vanderburgh County,48249.0,2241.9,5027.2,4097.1,0.2983,0.6707,17.6,56.165551341,14.1,0.4995,7.7,0.3709,146.0,264.2,0.3703,0.3981,13.361987911,0.4597,0.7096
Hawaii,Hawaii County,8029.0,2249.0,5221.2,3955.2,0.6234,0.6258,16.1,62.378946611,13.1,0.965,4.9,0.1681,160.0,155.2,0.9602,0.5669,16.087861204,0.3677,0.5466
Illinois,Clinton County,42131.0,2250.0,6109.4,4652.1,0.3098,0.1303,7.5,35.243968801,8.5,0.2958,3.8,0.3559,14.0,242.8,0.3359,0.1717,6.8473009872,0.134,0.5358
Missouri,Dekalb County,17133.0,2256.1,6433.8,4319.1,0.3368,0.4115,12.5,42.967244701,12.9,0.4979,7.4,0.5438,3.0,309.6,0.4817,0.1124,6.7675378267,0.0608,0.8558
Mississippi,Rankin County,29127.0,2258.0,6363.8,6396.3,0.1687,0.0882,12.6,47.394372184,12.6,0.6415,9.3,0.3868,98.0,177.0,0.5801,0.2745,7.5877113252,0.2209,0.5823
Virginia,Culpeper County,13111.0,2259.8,5180.1,4789.0,0.2114,0.0882,11.6,47.250293772,7.7,0.6874,10.1,0.6472,18.0,248.9,0.8198,0.4691,11.680291713,0.3085,0.5718
North Dakota,Steele County,54067.0,2262.9,6848.0,5336.8,0.8758,0.0287,12.6,29.496402878,2.9,0.0086,5.0,0.0089,84.43614372109570,215.1,0.2604,0.0573,5.1209103841,0.1331,0.0105
